epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,63.458,1.19875,0.90602,1.05883,0.79927,0.70947,0.78186,0.43856,1.38551,1.43956,1.20626,0.0011882,0.0011882,0.0011882
43,64.9468,1.1864,0.88883,1.06812,0.8423,0.72842,0.81849,0.48114,1.32004,1.44159,1.17754,0.0011684,0.0011684,0.0011684
44,66.4019,1.22063,0.92093,1.07682,0.8887,0.81895,0.9076,0.60819,1.09178,1.19204,1.05565,0.0011486,0.0011486,0.0011486
45,67.8817,1.1628,0.88911,1.07799,0.8887,0.81895,0.9076,0.60819,1.09178,1.19204,1.05565,0.0011288,0.0011288,0.0011288
46,69.3679,1.12543,0.92228,1.08076,0.91131,0.82203,0.92175,0.63505,1.04362,1.06084,1.03475,0.001109,0.001109,0.001109
47,70.8483,1.15045,0.86038,1.0766,0.8814,0.82921,0.90464,0.61547,1.01316,1.04619,1.0435,0.0010892,0.0010892,0.0010892
48,72.3196,1.08045,0.84146,1.05236,0.91251,0.81053,0.91788,0.63674,1.00214,0.98896,1.0421,0.0010694,0.0010694,0.0010694
49,73.8108,1.04037,0.85972,1.07429,0.91251,0.81053,0.91788,0.63674,1.00214,0.98896,1.0421,0.0010496,0.0010496,0.0010496
50,75.3073,1.16547,0.90537,1.0541,0.88772,0.84842,0.93143,0.6524,0.9895,0.9577,1.03136,0.0010298,0.0010298,0.0010298
51,76.8248,1.06939,0.85393,1.07001,0.90937,0.84494,0.94842,0.6714,0.98521,0.91923,1.02779,0.00101,0.00101,0.00101
52,78.3182,1.08014,0.88003,1.05477,0.93224,0.83993,0.95025,0.68545,0.96,0.89124,1.01523,0.0009902,0.0009902,0.0009902
53,79.7954,1.01322,0.83214,1.01907,0.93224,0.83993,0.95025,0.68545,0.96,0.89124,1.01523,0.0009704,0.0009704,0.0009704
54,81.2859,1.02722,0.79333,1.01658,0.89294,0.85474,0.94627,0.67953,0.95561,0.88949,1.01283,0.0009506,0.0009506,0.0009506
55,82.8168,0.99739,0.79092,1.01928,0.88277,0.88632,0.94395,0.68446,0.91784,0.83523,0.99614,0.0009308,0.0009308,0.0009308
56,84.3131,1.03147,0.86773,1.05428,0.89365,0.88842,0.94746,0.69685,0.8934,0.79635,0.97995,0.000911,0.000911,0.000911
57,85.8247,0.9423,0.75952,0.99557,0.89365,0.88842,0.94746,0.69685,0.8934,0.79635,0.97995,0.0008912,0.0008912,0.0008912
58,87.3658,0.9992,0.7744,1.01673,0.90291,0.88107,0.94551,0.70382,0.86367,0.77239,0.97137,0.0008714,0.0008714,0.0008714
59,88.8943,1.01097,0.78718,1.02518,0.91833,0.84842,0.93555,0.70186,0.87262,0.7731,0.97746,0.0008516,0.0008516,0.0008516
60,90.4133,0.95508,0.755,1.01426,0.9287,0.85004,0.94315,0.70914,0.86845,0.76195,0.97489,0.0008318,0.0008318,0.0008318
61,91.9458,1.00903,0.79743,1.01733,0.9287,0.85004,0.94315,0.70914,0.86845,0.76195,0.97489,0.000812,0.000812,0.000812
62,93.4489,0.96353,0.76927,1.0439,0.91185,0.88842,0.95416,0.73271,0.83854,0.73002,0.96479,0.0007922,0.0007922,0.0007922
63,95.1326,0.93822,0.73213,0.98581,0.93807,0.88632,0.96326,0.73406,0.82075,0.71561,0.9597,0.0007724,0.0007724,0.0007724
64,96.7968,0.95111,0.71765,0.98546,0.94626,0.89474,0.96313,0.73823,0.79701,0.69561,0.94905,0.0007526,0.0007526,0.0007526
65,98.3539,0.92086,0.74139,1.01631,0.94626,0.89474,0.96313,0.73823,0.79701,0.69561,0.94905,0.0007328,0.0007328,0.0007328
66,100.002,0.94901,0.74545,0.99544,0.94678,0.90105,0.96464,0.74727,0.77254,0.67258,0.94035,0.000713,0.000713,0.000713
67,101.579,0.98652,0.77025,0.99744,0.94276,0.90526,0.96514,0.75532,0.76793,0.66179,0.93623,0.0006932,0.0006932,0.0006932
68,103.082,0.89149,0.71397,0.97722,0.94237,0.91368,0.97244,0.73886,0.84707,0.67457,0.96642,0.0006734,0.0006734,0.0006734
69,104.569,0.93722,0.7274,0.97862,0.94237,0.91368,0.97244,0.73886,0.84707,0.67457,0.96642,0.0006536,0.0006536,0.0006536
70,106.064,0.89846,0.76139,1.01655,0.93606,0.92455,0.9762,0.7503,0.81767,0.67059,0.95747,0.0006338,0.0006338,0.0006338
71,107.542,0.8735,0.69287,0.97646,0.93126,0.92632,0.97036,0.7681,0.76337,0.6566,0.93666,0.000614,0.000614,0.000614
72,109.07,0.93857,0.70599,0.97143,0.94934,0.90737,0.96981,0.76731,0.76635,0.66323,0.93392,0.0005942,0.0005942,0.0005942
73,110.576,1.0081,0.74417,0.99396,0.94934,0.90737,0.96981,0.76731,0.76635,0.66323,0.93392,0.0005744,0.0005744,0.0005744
74,112.087,0.93368,0.73271,0.98385,0.94916,0.90392,0.97785,0.77952,0.74751,0.65754,0.9293,0.0005546,0.0005546,0.0005546
75,113.628,0.89115,0.69231,0.97442,0.9438,0.92,0.97868,0.76212,0.80351,0.66262,0.95376,0.0005348,0.0005348,0.0005348
76,115.139,0.86542,0.6794,0.96302,0.9622,0.91103,0.98021,0.76721,0.80771,0.65037,0.95584,0.000515,0.000515,0.000515
77,116.647,0.87408,0.71421,0.98156,0.9622,0.91103,0.98021,0.76721,0.80771,0.65037,0.95584,0.0004952,0.0004952,0.0004952
78,118.156,0.89873,0.68975,0.965,0.94102,0.94048,0.9749,0.77395,0.75249,0.63642,0.93238,0.0004754,0.0004754,0.0004754
79,119.681,0.93691,0.73135,0.99684,0.96482,0.92211,0.97311,0.76979,0.72021,0.62848,0.91979,0.0004556,0.0004556,0.0004556
80,121.189,0.85033,0.68288,0.96496,0.9608,0.92879,0.97614,0.78095,0.7077,0.61628,0.91409,0.0004358,0.0004358,0.0004358
81,122.712,0.85399,0.66372,0.95967,0.9608,0.92879,0.97614,0.78095,0.7077,0.61628,0.91409,0.000416,0.000416,0.000416
82,124.249,0.88622,0.68693,0.9636,0.97767,0.92183,0.98345,0.79679,0.66481,0.59593,0.90357,0.0003962,0.0003962,0.0003962
83,125.899,0.86779,0.68627,0.95656,0.97565,0.92776,0.98394,0.80438,0.66519,0.58204,0.90412,0.0003764,0.0003764,0.0003764
84,127.433,0.84778,0.68287,0.95959,0.97365,0.92421,0.98148,0.80329,0.68119,0.5775,0.90729,0.0003566,0.0003566,0.0003566
85,128.951,0.81497,0.64308,0.95083,0.97365,0.92421,0.98148,0.80329,0.68119,0.5775,0.90729,0.0003368,0.0003368,0.0003368
86,130.502,0.81046,0.66149,0.93953,0.97384,0.92211,0.98023,0.80146,0.68318,0.57269,0.90686,0.000317,0.000317,0.000317
87,132.046,0.82155,0.65867,0.95129,0.97808,0.92421,0.98035,0.80147,0.67081,0.56523,0.9035,0.0002972,0.0002972,0.0002972
88,133.55,0.84109,0.65605,0.93144,0.96888,0.93684,0.97984,0.80648,0.65378,0.56327,0.89866,0.0002774,0.0002774,0.0002774
89,135.074,0.76861,0.62979,0.94562,0.96888,0.93684,0.97984,0.80648,0.65378,0.56327,0.89866,0.0002576,0.0002576,0.0002576
90,136.62,0.83474,0.64834,0.95582,0.96949,0.94105,0.98046,0.81218,0.63267,0.56136,0.89297,0.0002378,0.0002378,0.0002378
91,138.722,0.80677,0.73781,0.947,0.97223,0.93684,0.97894,0.8126,0.63066,0.56834,0.89215,0.000218,0.000218,0.000218
92,140.31,0.80227,0.68622,0.93623,0.96989,0.93474,0.97936,0.79987,0.66116,0.58892,0.90255,0.0001982,0.0001982,0.0001982
93,141.829,0.73483,0.66344,0.94176,0.96989,0.93474,0.97936,0.79987,0.66116,0.58892,0.90255,0.0001784,0.0001784,0.0001784
94,143.303,0.72282,0.64644,0.93247,0.95775,0.93474,0.97698,0.78569,0.69303,0.60862,0.91218,0.0001586,0.0001586,0.0001586
95,144.882,0.76184,0.65315,0.91946,0.94796,0.93474,0.97553,0.78658,0.68572,0.60753,0.90784,0.0001388,0.0001388,0.0001388
96,146.419,0.74024,0.64281,0.922,0.94818,0.93895,0.9759,0.79789,0.66043,0.59734,0.89719,0.000119,0.000119,0.000119
97,147.898,0.83274,0.69976,0.95374,0.94818,0.93895,0.9759,0.79789,0.66043,0.59734,0.89719,9.92e-05,9.92e-05,9.92e-05
98,149.418,0.71005,0.64417,0.90949,0.95367,0.94526,0.97854,0.80638,0.64156,0.58239,0.89031,7.94e-05,7.94e-05,7.94e-05
99,150.947,0.74066,0.6333,0.91596,0.95964,0.94105,0.98205,0.81503,0.62729,0.56966,0.88558,5.96e-05,5.96e-05,5.96e-05
100,152.485,0.73142,0.63331,0.92144,0.95126,0.94737,0.98541,0.81962,0.61623,0.56001,0.88268,3.98e-05,3.98e-05,3.98e-05
